Data Table for Daily Case Trends - The United States
Date generated: Tue Sep 07 2021 20:57:24 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg,Total Case Rate per 100k,Historic Cases
United States,Sep  6 2021,47728,127100,12229.7,823
United States,Sep  5 2021,58976,138191,12214.9,277
United States,Sep  4 2021,86309,145830,12196.8,417
United States,Sep  3 2021,173544,153979,12170.3,884
United States,Sep  2 2021,173772,154836,12117.1,1214
United States,Sep  1 2021,182425,156300,12063.7,1159
United States,Aug 31 2021,166947,155783,12007.7,1102
United States,Aug 30 2021,125365,155534,11956.4,406
United States,Aug 29 2021,112453,154232,11918.1,179
United States,Aug 28 2021,143350,154929,11883.7,361
United States,Aug 27 2021,179542,154742,11839.9,783
United States,Aug 26 2021,184019,152627,11784.9,585
United States,Aug 25 2021,178810,150147,11728.5,637
United States,Aug 24 2021,165199,149704,11673.8,667
United States,Aug 23 2021,116257,148721,11623.2,341
United States,Aug 22 2021,117332,147942,11587.6,70
United States,Aug 21 2021,142037,146601,11551.8,376
United States,Aug 20 2021,164736,145980,11508.3,2281
United States,Aug 19 2021,166661,143653,11457.4,670
United States,Aug 18 2021,175706,142122,11406.3,1280
United States,Aug 17 2021,158319,138910,11352.3,536
United States,Aug 16 2021,110808,136573,11303.9,251
United States,Aug 15 2021,107942,134383,11270,74
United States,Aug 14 2021,137689,132378,11237,167
United States,Aug 13 2021,148452,130079,11195,607
United States,Aug 12 2021,155941,126838,11149.5,631
United States,Aug 11 2021,153224,123308,11101.7,549
United States,Aug 10 2021,141961,119968,11054.8,487
United States,Aug  9 2021,95475,116384,11011.4,385
United States,Aug  8 2021,93908,114326,10982.1,42
United States,Aug  7 2021,121596,111556,10953.5,99
United States,Aug  6 2021,125761,107471,10916.3,8113
United States,Aug  5 2021,131232,104878,10875.5,665
United States,Aug  4 2021,129847,100447,10835.2,640
United States,Aug  3 2021,116871,95582,10795.4,748
United States,Aug  2 2021,81068,91356,10759.6,131
United States,Aug  1 2021,74517,88062,10734.8,44
United States,Jul 31 2021,93005,84852,10712,164
United States,Jul 30 2021,107609,80341,10683.6,691
United States,Jul 29 2021,100217,74958,10650.6,391
United States,Jul 28 2021,95792,70793,10619.9,436
United States,Jul 27 2021,87285,66460,10590.5,424
United States,Jul 26 2021,58012,61575,10563.8,54
United States,Jul 25 2021,52050,58647,10546,44
United States,Jul 24 2021,61427,56207,10530.1,138
United States,Jul 23 2021,69928,52828,10511.4,533
United States,Jul 22 2021,71059,49089,10489.9,457
United States,Jul 21 2021,65462,45048,10468,301
United States,Jul 20 2021,53087,41565,10448,309
United States,Jul 19 2021,37519,39087,10431.7,301
United States,Jul 18 2021,34971,37209,10420.2,45
United States,Jul 17 2021,37774,35154,10409.5,71
United States,Jul 16 2021,43755,33228,10397.9,179
United States,Jul 15 2021,42774,31148,10384.5,263
United States,Jul 14 2021,41080,29412,10371.4,240
United States,Jul 13 2021,35740,27056,10358.8,156
United States,Jul 12 2021,24373,24352,10347.8,85
United States,Jul 11 2021,20586,22457,10340.4,83
United States,Jul 10 2021,24294,21294,10334.1,123
United States,Jul  9 2021,29194,20004,10326.6,686
United States,Jul  8 2021,30622,18289,10317.5,101
United States,Jul  7 2021,24589,16603,10308.1,203
United States,Jul  6 2021,16810,15635,10300.6,71
United States,Jul  5 2021,11110,15574,10295.4,34
United States,Jul  4 2021,12441,15531,10292,27
United States,Jul  3 2021,15268,15122,10288.2,111
United States,Jul  2 2021,17183,14806,10283.5,129
United States,Jul  1 2021,18822,14400,10278.2,122
United States,Jun 30 2021,17811,13925,10272.5,136
United States,Jun 29 2021,16385,13463,10267,122
United States,Jun 28 2021,10809,13104,10261.9,44
United States,Jun 27 2021,9579,12779,10258.6,58
United States,Jun 26 2021,13054,12698,10255.7,0
United States,Jun 25 2021,14342,12583,10251.7,0
United States,Jun 24 2021,15499,12214,10247.3,0
United States,Jun 23 2021,14576,11971,10242.6,0
United States,Jun 22 2021,13870,11836,10238.2,0
United States,Jun 21 2021,8533,11743,10233.9,0
United States,Jun 20 2021,9014,11729,10231.3,0
United States,Jun 19 2021,12252,11658,10228.6,0
United States,Jun 18 2021,11757,11637,10224.8,0
United States,Jun 17 2021,13797,11994,10221.3,0
United States,Jun 16 2021,13633,12363,10217,0
United States,Jun 15 2021,13215,13197,10212.9,0
United States,Jun 14 2021,8435,13387,10208.9,0
United States,Jun 13 2021,8522,13650,10206.3,0
United States,Jun 12 2021,12103,13976,10203.7,0
United States,Jun 11 2021,14253,14337,10200,0
United States,Jun 10 2021,16381,14945,10195.6,1
United States,Jun  9 2021,19473,15323,10190.6,464
United States,Jun  8 2021,14546,14954,10184.6,0
United States,Jun  7 2021,10273,14211,10180.1,0
United States,Jun  6 2021,10806,14031,10177,0
United States,Jun  5 2021,14627,14159,10173.7,0
United States,Jun  4 2021,18509,14314,10169.2,0
United States,Jun  3 2021,19031,14592,10163.6,0
United States,Jun  2 2021,16887,14990,10157.8,0
United States,Jun  1 2021,9347,15971,10152.6,0
United States,May 31 2021,9011,18093,10149.8,1
United States,May 30 2021,11704,19083,10147,0
United States,May 29 2021,15712,19552,10143.4,0
United States,May 28 2021,20458,20389,10138.7,0
United States,May 27 2021,21816,21437,10132.4,0
United States,May 26 2021,23755,22272,10125.8,0
United States,May 25 2021,24198,22925,10118.5,0
United States,May 24 2021,15940,23594,10111.1,0
United States,May 23 2021,14990,24137,10106.3,0
United States,May 22 2021,21572,24929,10101.7,0
United States,May 21 2021,27788,25927,10095.1,0
United States,May 20 2021,27667,26786,10086.6,0
United States,May 19 2021,28323,27919,10078.2,0
United States,May 18 2021,28882,28915,10069.6,0
United States,May 17 2021,19740,29767,10060.7,0
United States,May 16 2021,20532,30492,10054.7,0
United States,May 15 2021,28560,31309,10048.5,42
United States,May 14 2021,33801,32372,10039.7,0
United States,May 13 2021,35599,33773,10029.4,0
United States,May 12 2021,35294,34858,10018.6,0
United States,May 11 2021,34848,36343,10007.8,0
United States,May 10 2021,24814,37732,9997.2,0
United States,May  9 2021,26252,38973,9989.6,0
United States,May  8 2021,35998,40252,9981.6,0
United States,May  7 2021,43609,41850,9970.6,0
United States,May  6 2021,43193,43463,9957.3,0
United States,May  5 2021,45689,45479,9944.1,0
United States,May  4 2021,44573,46863,9930.2,0
United States,May  3 2021,33502,48058,9916.6,0
United States,May  2 2021,35204,48942,9906.4,0
United States,May  1 2021,47184,49561,9895.6,0
United States,Apr 30 2021,54897,50276,9881.2,0
United States,Apr 29 2021,57305,51521,9864.5,0
United States,Apr 28 2021,55381,52022,9847,0
United States,Apr 27 2021,52939,53299,9830.1,0
United States,Apr 26 2021,39685,54508,9813.9,-9005
United States,Apr 25 2021,39540,53807,9804.6,0
United States,Apr 24 2021,52189,54991,9792.5,0
United States,Apr 23 2021,63608,58089,9776.6,0
United States,Apr 22 2021,60817,59077,9757.2,0
United States,Apr 21 2021,64316,61070,9738.6,0
United States,Apr 20 2021,61406,62448,9719,0
United States,Apr 19 2021,34773,64328,9700.3,0
United States,Apr 18 2021,47831,68065,9689.7,0
United States,Apr 17 2021,73876,68338,9675.1,0
United States,Apr 16 2021,70523,67228,9652.5,0
United States,Apr 15 2021,74771,68421,9631,0
United States,Apr 14 2021,73962,68640,9608.2,0
United States,Apr 13 2021,74562,69333,9585.6,0
United States,Apr 12 2021,60933,68267,9562.9,0
United States,Apr 11 2021,49741,67643,9544.3,0
United States,Apr 10 2021,66110,66800,9529.1,0
United States,Apr  9 2021,78872,66245,9509,72
United States,Apr  8 2021,76305,65079,9484.9,0
United States,Apr  7 2021,78810,64729,9461.6,0
United States,Apr  6 2021,67102,63839,9437.6,0
United States,Apr  5 2021,56566,63302,9417.1,0
United States,Apr  4 2021,43837,63438,9399.8,0
United States,Apr  3 2021,62227,64573,9386.4,0
United States,Apr  2 2021,70712,64598,9367.5,0
United States,Apr  1 2021,73851,65393,9345.9,0
United States,Mar 31 2021,72581,64395,9323.4,0
United States,Mar 30 2021,63344,63818,9301.2,0
United States,Mar 29 2021,57519,63218,9281.9,0
United States,Mar 28 2021,51779,62004,9264.3,0
United States,Mar 27 2021,62401,60816,9248.5,0
United States,Mar 26 2021,76276,60016,9229.5,0
United States,Mar 25 2021,66869,57834,9206.2,0
United States,Mar 24 2021,68540,57228,9185.8,0
United States,Mar 23 2021,59147,56292,9164.9,0
United States,Mar 22 2021,49019,55609,9146.9,0
United States,Mar 21 2021,43465,54780,9131.9,0
United States,Mar 20 2021,56800,54610,9118.7,0
United States,Mar 19 2021,60998,53999,9101.3,0
United States,Mar 18 2021,62627,54124,9082.7,0
United States,Mar 17 2021,61994,53627,9063.6,0
United States,Mar 16 2021,54365,53163,9044.7,0
United States,Mar 15 2021,43211,53128,9028.1,0
United States,Mar 14 2021,42280,52977,9014.9,0
United States,Mar 13 2021,52520,52938,9002,0
United States,Mar 12 2021,61871,53377,8986,0
United States,Mar 11 2021,59154,53408,8967.1,0
United States,Mar 10 2021,58740,54181,8949.1,0
United States,Mar  9 2021,54126,55143,8931.2,891
United States,Mar  8 2021,42154,55182,8914.4,0
United States,Mar  7 2021,42002,56513,8901.5,0
United States,Mar  6 2021,55598,57486,8888.7,0
United States,Mar  5 2021,62087,58993,8871.7,0
United States,Mar  4 2021,64565,60271,8852.8,0
United States,Mar  3 2021,65469,60982,8833.1,0
United States,Mar  2 2021,54399,61987,8813.1,0
United States,Mar  1 2021,51472,64400,8796.5,0
United States,Feb 28 2021,48812,64920,8780.8,0
United States,Feb 27 2021,66151,65384,8765.9,0
United States,Feb 26 2021,71033,65118,8745.8,0
United States,Feb 25 2021,69539,64969,8724.1,0
United States,Feb 24 2021,72506,64943,8702.9,0
United States,Feb 23 2021,71289,64110,8680.8,0
United States,Feb 22 2021,55113,61999,8659,0
United States,Feb 21 2021,52063,62039,8642.2,0
United States,Feb 20 2021,64287,63513,8626.3,0
United States,Feb 19 2021,69992,66117,8606.7,0
United States,Feb 18 2021,69356,69609,8585.3,0
United States,Feb 17 2021,66670,73697,8564.2,0
United States,Feb 16 2021,56518,78385,8543.8,0
United States,Feb 15 2021,55390,83519,8526.6,0
United States,Feb 14 2021,62378,86938,8509.7,0
United States,Feb 13 2021,82518,89739,8490.7,0
United States,Feb 12 2021,94437,93067,8465.5,0
United States,Feb 11 2021,97970,96968,8436.7,0
United States,Feb 10 2021,99488,100560,8406.8,0
United States,Feb  9 2021,92458,102970,8376.4,0
