model,location,target_end_date,target_variable,value,location_name,population,geo_type,geo_value,abbreviation,full_location_name
Observed Data (JHU),US,2020-01-25,inc case,0,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-02-01,inc case,6,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-02-08,inc case,4,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-02-15,inc case,2,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-02-22,inc case,2,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-02-29,inc case,10,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-03-07,inc case,391,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-03-14,inc case,2535,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-03-21,inc case,23104,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-03-28,inc case,101361,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-04-04,inc case,193962,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-04-11,inc case,222499,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-04-18,inc case,199501,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-04-25,inc case,206919,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-05-02,inc case,192950,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-05-09,inc case,176848,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-05-16,inc case,157274,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-05-23,inc case,155133,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-05-30,inc case,147837,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-06-06,inc case,145509,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-06-13,inc case,146847,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-06-20,inc case,181650,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-06-27,inc case,258978,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-07-04,inc case,338773,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-07-11,inc case,402323,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-07-18,inc case,464647,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-07-25,inc case,466193,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-08-01,inc case,440031,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-08-08,inc case,375500,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-08-15,inc case,365219,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-08-22,inc case,300744,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-08-29,inc case,290876,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-09-05,inc case,289397,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-09-12,inc case,240643,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-09-19,inc case,282982,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-09-26,inc case,309249,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-10-03,inc case,303998,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-10-10,inc case,341557,United States,332875137,state,us,US,United States
Observed Data (JHU),US,2020-10-17,inc case,390597,United States,332875137,state,us,US,United States
